id,income
20901,1
14170,1
1776,1
30428,1
8602,1
13269,1
24221,1
746,1
24034,1
5658,1
28379,1
28723,1
22817,1
19185,1
25370,1
19528,1
29633,1
20767,1
12567,1
18436,1
24047,1
414,1
18489,1
12681,1
28664,1
10931,1
4711,1
21309,1
30104,1
1676,1
28040,1
19156,1
8144,1
23384,1
26114,1
2626,1
27745,1
15760,1
7439,1
12212,1
24481,1
8348,1
3543,1
19536,1
801,1
32008,1
4899,1
5048,1
19662,1
1205,1
18253,1
31373,1
17841,1
16636,1
19130,1
216,1
4109,1
5930,1
24906,1
20256,1
31981,1
30798,1
5326,1
21217,1
10064,1
25463,1
15476,1
3665,1
3097,1
17798,1
9278,1
20186,1
2001,1
29121,1
18316,1
28780,1
22127,1
7922,1
22389,1
22146,1
25891,1
32304,1
4011,1
29857,1
21565,1
24369,1
1564,1
1000,1
22066,1
7615,1
7921,1
15985,1
23570,1
19590,1
21351,1
2058,1
31500,1
22340,1
21088,1
21389,1
11708,1
19222,1
1147,1
12098,1
1663,1
31165,1
2270,1
31807,1
8253,1
10654,1
12566,1
31743,1
21380,1
14329,1
276,1
29922,1
20253,1
13765,1
27616,1
23354,1
14011,1
27626,1
19397,1
10828,1
21188,1
28802,1
9807,1
28213,1
17384,1
20165,1
21748,1
22048,1
4990,1
27752,1
6498,1
15827,1
991,1
43,1
27500,1
6007,1
812,1
22938,1
20716,1
23075,1
18904,1
2998,1
22729,1
5118,1
5932,1
26050,1
32251,1
14573,1
9443,1
24698,1
19592,1
32072,1
13256,1
25119,1
12210,1
4452,1
22254,1
9065,1
15019,1
10512,1
7530,1
13819,1
24292,1
30538,1
32332,1
9733,1
27311,1
12436,1
25063,1
30371,1
18970,1
25806,1
15649,1
30134,1
6046,1
19155,1
7938,1
2106,1
19556,1
4639,1
27402,1
8571,1
3031,1
21086,1
15072,1
823,1
12496,1
2210,1
30964,1
24909,1
16911,1
23653,1
23483,1
25533,1
12183,1
29608,1
3375,1
9510,1
28893,1
20967,1
2440,1
339,1
376,1
13362,1
6790,1
5660,1
20914,1
2127,1
26248,1
7000,1
18241,1
12238,1
28525,1
26091,1
14720,1
22870,1
13053,1
7824,1
4829,1
2910,1
1259,1
19958,1
15449,1
17702,1
23547,1
2479,1
581,1
15664,1
11024,1
24295,1
31717,1
28696,1
31210,1
8145,1
20696,1
10301,1
749,1
21628,1
7134,1
23166,1
5028,1
10819,1
22838,1
381,1
3051,1
20336,1
1093,1
7101,1
25948,1
9283,1
15622,1
11171,1
10597,1
30543,1
16815,1
7864,1
13026,1
20521,1
3265,1
17138,1
7901,1
27970,1
20793,1
28457,1
25644,1
15792,1
31815,1
21204,1
14642,1
4704,1
23291,1
637,1
24422,1
251,1
17116,1
11763,1
10471,1
26270,1
12839,1
11112,1
24999,1
23352,1
13551,1
9648,1
17123,1
31191,1
15236,1
10199,1
12468,1
15035,1
30151,1
18275,1
19458,1
1740,1
9676,1
5063,1
19953,1
28019,1
19007,1
30908,1
15320,1
18277,1
26701,1
26599,1
22471,1
11872,1
13448,1
4612,1
